industry_name,posting_count
Hospitals and Health Care,4557
Financial Services,2394
Retail,2383
Staffing and Recruiting,2334
IT Services and IT Consulting,2063
Software Development,1113
Construction,940
Manufacturing,865
Banking,700
Telecommunications,656
Hospitality,651
Industrial Machinery Manufacturing,602
Insurance,598
Real Estate,562
Food and Beverage Services,523
Pharmaceutical Manufacturing,514
Accounting,467
Motor Vehicle Manufacturing,466
Biotechnology Research,452
Defense and Space Manufacturing,446
Business Consulting and Services,439
"Technology, Information and Internet",418
Medical Equipment Manufacturing,410
Government Administration,377
Non-profit Organizations,373
Civil Engineering,368
Advertising Services,367
Higher Education,357
Law Practice,344
"Appliances, Electrical, and Electronics Manufacturing",318
"Transportation, Logistics, Supply Chain and Storage",310
Food and Beverage Manufacturing,301
Restaurants,299
Investment Management,296
Legal Services,282
Retail Apparel and Fashion,275
Wholesale Building Materials,270
Aviation and Aerospace Component Manufacturing,268
Truck Transportation,267
Medical Practices,263
Environmental Services,263
Utilities,262
Oil and Gas,262
Wellness and Fitness Services,262
Education Administration Programs,255
Consumer Services,245
Chemical Manufacturing,227
Primary and Secondary Education,208
Entertainment Providers,207
Human Resources Services,198
Airlines and Aviation,189
Mental Health Care,186
Public Safety,176
Research Services,171
"Technology, Information and Media",165
Facilities Services,160
Machinery Manufacturing,156
Information Services,154
Individual and Family Services,154
Business Content,153
Architecture and Planning,150
Packaging and Containers Manufacturing,140
Engineering Services,139
Wholesale,137
Security and Investigations,130
Computer and Network Security,127
Veterinary Services,125
Design Services,124
Personal Care Product Manufacturing,121
Automation Machinery Manufacturing,120
Investment Banking,107
Computer Hardware Manufacturing,104
Professional Services,103
Renewable Energy Semiconductor Manufacturing,97
Marketing Services,97
Semiconductor Manufacturing,97
Computers and Electronics Manufacturing,89
Health and Human Services,79
Venture Capital and Private Equity Principals,76
Internet Marketplace Platforms,73
Services for Renewable Energy,73
Broadcast Media Production and Distribution,64
Education Management,64
Travel Arrangements,64
Information Technology & Services,63
Public Relations and Communications Services,61
Education,57
Retail Office Equipment,52
Retail Luxury Goods and Jewelry,52
Mining,51
Spectator Sports,49
Retail Groceries,48
Capital Markets,48
Building Construction,46
Book and Periodical Publishing,45
Events Services,44
Non-profit Organization Management,44
Plastics Manufacturing,43
Textile Manufacturing,42
Media Production,42
